Status;Model_Prediction;Prediction_Confidence;Prediction_Correct;Gender;Gender_Label;Age_at_enrollment;International;International_Label;Displaced;Displaced_Label;Marital_status;Course;Admission_grade;Curricular_units_1st_sem_approved;Curricular_units_1st_sem_grade;Curricular_units_2nd_sem_approved;Curricular_units_2nd_sem_grade;Educational_special_needs;Special_Needs_Label;Scholarship_holder;Scholarship_Label;Tuition_fees_up_to_date;Tuition_Label;Debtor;Debtor_Label;Daytime_evening_attendance;Attendance_Label;Probability_Dropout;Probability_Enrolled;Probability_Graduate
Graduate;Graduate;76.4;1;0;👩 Perempuan (Female);18;0;🇵🇹 Domestik;1;📍 Pindah;1;9670;130.6;6;12.333333333333334;5;14.2;0;✓ Tidak;0;❌ Tanpa Beasiswa;1;✅ Bayar Tepat Waktu;0;✅ Non-Debtor;1;☀️ Daytime;9.93;13.67;76.4
Graduate;Graduate;91.31;1;0;👩 Perempuan (Female);18;0;🇵🇹 Domestik;1;📍 Pindah;1;9500;119.3;7;13.214285714285714;7;13.214285714285714;0;✓ Tidak;1;✅ Dengan Beasiswa;1;✅ Bayar Tepat Waktu;0;✅ Non-Debtor;1;☀️ Daytime;2.32;6.37;91.31
Dropout;Dropout;96.75;1;0;👩 Perempuan (Female);19;0;🇵🇹 Domestik;1;📍 Pindah;1;9853;130.2;0;0.0;0;0.0;0;✓ Tidak;0;❌ Tanpa Beasiswa;1;✅ Bayar Tepat Waktu;0;✅ Non-Debtor;1;☀️ Daytime;96.75;3.24;0.01
Graduate;Graduate;84.78;1;0;👩 Perempuan (Female);21;0;🇵🇹 Domestik;1;📍 Pindah;1;9254;111.8;6;10.571428571428571;5;11.0;0;✓ Tidak;1;✅ Dengan Beasiswa;1;✅ Bayar Tepat Waktu;0;✅ Non-Debtor;1;☀️ Daytime;2.72;12.51;84.78
Graduate;Graduate;87.04;1;0;👩 Perempuan (Female);18;0;🇵🇹 Domestik;1;📍 Pindah;1;9085;137.1;4;13.25;5;12.0;0;✓ Tidak;1;✅ Dengan Beasiswa;1;✅ Bayar Tepat Waktu;0;✅ Non-Debtor;1;☀️ Daytime;4.88;8.08;87.04
Dropout;Dropout;94.34;1;0;👩 Perempuan (Female);20;0;🇵🇹 Domestik;1;📍 Pindah;1;9773;120.7;5;13.2;0;0.0;0;✓ Tidak;0;❌ Tanpa Beasiswa;1;✅ Bayar Tepat Waktu;0;✅ Non-Debtor;1;☀️ Daytime;94.34;5.5;0.16
Enrolled;Dropout;52.19;0;0;👩 Perempuan (Female);18;0;🇵🇹 Domestik;1;📍 Pindah;1;9238;137.4;1;12.0;2;11.0;0;✓ Tidak;0;❌ Tanpa Beasiswa;1;✅ Bayar Tepat Waktu;0;✅ Non-Debtor;1;☀️ Daytime;52.19;47.24;0.57
Graduate;Graduate;92.83;1;0;👩 Perempuan (Female);18;0;🇵🇹 Domestik;1;📍 Pindah;1;9500;127.3;7;13.30625;8;14.545;0;✓ Tidak;0;❌ Tanpa Beasiswa;1;✅ Bayar Tepat Waktu;0;✅ Non-Debtor;1;☀️ Daytime;1.92;5.25;92.83
Graduate;Graduate;57.89;1;0;👩 Perempuan (Female);20;0;🇵🇹 Domestik;1;📍 Pindah;1;9130;136.3;4;12.5;4;12.25;0;✓ Tidak;0;❌ Tanpa Beasiswa;1;✅ Bayar Tepat Waktu;0;✅ Non-Debtor;1;☀️ Daytime;11.96;30.15;57.89
Enrolled;Graduate;71.04;0;0;👩 Perempuan (Female);18;0;🇵🇹 Domestik;1;📍 Pindah;1;9853;124.6;6;11.666666666666666;6;13.5;0;✓ Tidak;0;❌ Tanpa Beasiswa;1;✅ Bayar Tepat Waktu;0;✅ Non-Debtor;1;☀️ Daytime;10.87;18.09;71.04
Graduate;Graduate;71.32;1;0;👩 Perempuan (Female);21;0;🇵🇹 Domestik;0;🏠 Tidak Pindah;1;171;120.3;0;0.0;0;0.0;0;✓ Tidak;1;✅ Dengan Beasiswa;1;✅ Bayar Tepat Waktu;0;✅ Non-Debtor;1;☀️ Daytime;15.52;13.16;71.32
Enrolled;Graduate;87.94;0;0;👩 Perempuan (Female);20;0;🇵🇹 Domestik;1;📍 Pindah;1;9556;121.8;7;11.4375;8;11.425;0;✓ Tidak;0;❌ Tanpa Beasiswa;1;✅ Bayar Tepat Waktu;0;✅ Non-Debtor;1;☀️ Daytime;2.26;9.81;87.94
Graduate;Graduate;76.26;1;0;👩 Perempuan (Female);18;0;🇵🇹 Domestik;1;📍 Pindah;1;9500;125.5;7;12.857142857142858;7;12.857142857142858;0;✓ Tidak;0;❌ Tanpa Beasiswa;1;✅ Bayar Tepat Waktu;0;✅ Non-Debtor;1;☀️ Daytime;6.82;16.91;76.26
Graduate;Graduate;92.95;1;0;👩 Perempuan (Female);19;0;🇵🇹 Domestik;1;📍 Pindah;1;9670;114.9;6;13.375;6;12.285714285714286;0;✓ Tidak;1;✅ Dengan Beasiswa;1;✅ Bayar Tepat Waktu;0;✅ Non-Debtor;1;☀️ Daytime;1.82;5.23;92.95
Graduate;Graduate;76.97;1;0;👩 Perempuan (Female);19;0;🇵🇹 Domestik;0;🏠 Tidak Pindah;1;9500;123.9;6;13.296666666666669;7;14.114285714285714;0;✓ Tidak;0;❌ Tanpa Beasiswa;1;✅ Bayar Tepat Waktu;0;✅ Non-Debtor;1;☀️ Daytime;4.4;18.64;76.97
Enrolled;Enrolled;44.16;1;0;👩 Perempuan (Female);18;0;🇵🇹 Domestik;1;📍 Pindah;1;9238;157.0;5;11.6;4;11.0;0;✓ Tidak;1;✅ Dengan Beasiswa;1;✅ Bayar Tepat Waktu;1;⚠️ Debtor;1;☀️ Daytime;20.38;44.16;35.46
Graduate;Graduate;83.08;1;0;👩 Perempuan (Female);21;0;🇵🇹 Domestik;1;📍 Pindah;1;9238;116.4;6;11.375;6;13.285714285714286;0;✓ Tidak;0;❌ Tanpa Beasiswa;1;✅ Bayar Tepat Waktu;0;✅ Non-Debtor;1;☀️ Daytime;4.51;12.41;83.08
Enrolled;Graduate;68.98;0;0;👩 Perempuan (Female);18;0;🇵🇹 Domestik;1;📍 Pindah;1;9085;131.0;5;12.666666666666666;4;13.0;0;✓ Tidak;0;❌ Tanpa Beasiswa;1;✅ Bayar Tepat Waktu;0;✅ Non-Debtor;1;☀️ Daytime;7.49;23.53;68.98
Graduate;Graduate;79.94;1;0;👩 Perempuan (Female);20;0;🇵🇹 Domestik;1;📍 Pindah;1;9147;122.1;5;12.0;5;12.333333333333334;0;✓ Tidak;0;❌ Tanpa Beasiswa;1;✅ Bayar Tepat Waktu;0;✅ Non-Debtor;1;☀️ Daytime;8.41;11.65;79.94
Enrolled;Graduate;59.86;0;1;👨 Laki-laki (Male);19;0;🇵🇹 Domestik;1;📍 Pindah;1;9500;118.8;6;12.933333333333332;6;13.716666666666669;0;✓ Tidak;0;❌ Tanpa Beasiswa;1;✅ Bayar Tepat Waktu;0;✅ Non-Debtor;1;☀️ Daytime;15.92;24.23;59.86
Enrolled;Enrolled;56.35;1;1;👨 Laki-laki (Male);21;0;🇵🇹 Domestik;0;🏠 Tidak Pindah;1;9003;150.0;5;11.857142857142858;5;10.571428571428571;0;✓ Tidak;0;❌ Tanpa Beasiswa;1;✅ Bayar Tepat Waktu;0;✅ Non-Debtor;1;☀️ Daytime;8.58;56.35;35.08
Graduate;Enrolled;55.93;0;1;👨 Laki-laki (Male);20;0;🇵🇹 Domestik;1;📍 Pindah;1;9070;130.0;6;12.833333333333334;4;13.4;0;✓ Tidak;0;❌ Tanpa Beasiswa;1;✅ Bayar Tepat Waktu;0;✅ Non-Debtor;1;☀️ Daytime;9.78;55.93;34.29
Enrolled;Dropout;79.96;0;1;👨 Laki-laki (Male);18;0;🇵🇹 Domestik;0;🏠 Tidak Pindah;1;9147;138.8;3;11.333333333333334;2;13.5;0;✓ Tidak;0;❌ Tanpa Beasiswa;0;⚠️ Belum/Menunggak;0;✅ Non-Debtor;1;☀️ Daytime;79.96;19.22;0.82
Graduate;Graduate;88.93;1;0;👩 Perempuan (Female);19;0;🇵🇹 Domestik;1;📍 Pindah;1;8014;134.5;6;12.666666666666666;6;14.375;0;✓ Tidak;0;❌ Tanpa Beasiswa;1;✅ Bayar Tepat Waktu;0;✅ Non-Debtor;0;🌙 Evening;2.36;8.71;88.93
Graduate;Graduate;71.29;1;1;👨 Laki-laki (Male);34;0;🇵🇹 Domestik;0;🏠 Tidak Pindah;1;9991;131.4;5;12.4;5;13.428571428571429;0;✓ Tidak;0;❌ Tanpa Beasiswa;1;✅ Bayar Tepat Waktu;0;✅ Non-Debtor;0;🌙 Evening;10.46;18.25;71.29
Dropout;Dropout;96.63;1;1;👨 Laki-laki (Male);37;0;🇵🇹 Domestik;0;🏠 Tidak Pindah;1;33;102.5;0;0.0;1;10.0;0;✓ Tidak;0;❌ Tanpa Beasiswa;0;⚠️ Belum/Menunggak;1;⚠️ Debtor;1;☀️ Daytime;96.63;3.36;0.0
Dropout;Dropout;98.46;1;1;👨 Laki-laki (Male);43;0;🇵🇹 Domestik;1;📍 Pindah;1;9119;128.8;0;0.0;0;0.0;0;✓ Tidak;0;❌ Tanpa Beasiswa;1;✅ Bayar Tepat Waktu;0;✅ Non-Debtor;1;☀️ Daytime;98.46;1.52;0.02
Dropout;Dropout;89.7;1;0;👩 Perempuan (Female);55;0;🇵🇹 Domestik;0;🏠 Tidak Pindah;1;9147;122.9;1;10.0;2;12.0;0;✓ Tidak;0;❌ Tanpa Beasiswa;1;✅ Bayar Tepat Waktu;0;✅ Non-Debtor;1;☀️ Daytime;89.7;9.43;0.87
Graduate;Graduate;75.5;1;0;👩 Perempuan (Female);39;0;🇵🇹 Domestik;1;📍 Pindah;4;9991;113.9;5;11.0;5;11.6;0;✓ Tidak;0;❌ Tanpa Beasiswa;1;✅ Bayar Tepat Waktu;0;✅ Non-Debtor;0;🌙 Evening;9.89;14.61;75.5
Dropout;Dropout;50.0;1;0;👩 Perempuan (Female);20;1;🌍 Internasional;0;🏠 Tidak Pindah;1;9130;120.0;3;11.666666666666666;3;12.0;0;✓ Tidak;0;❌ Tanpa Beasiswa;0;⚠️ Belum/Menunggak;1;⚠️ Debtor;1;☀️ Daytime;50.0;48.62;1.37
Dropout;Dropout;94.7;1;0;👩 Perempuan (Female);18;0;🇵🇹 Domestik;0;🏠 Tidak Pindah;1;9773;121.1;4;12.75;0;0.0;0;✓ Tidak;0;❌ Tanpa Beasiswa;1;✅ Bayar Tepat Waktu;1;⚠️ Debtor;1;☀️ Daytime;94.7;5.2;0.11
Graduate;Graduate;87.89;1;0;👩 Perempuan (Female);22;0;🇵🇹 Domestik;1;📍 Pindah;1;9147;120.4;5;14.8;5;15.8;0;✓ Tidak;0;❌ Tanpa Beasiswa;1;✅ Bayar Tepat Waktu;0;✅ Non-Debtor;1;☀️ Daytime;3.36;8.75;87.89
Graduate;Graduate;58.54;1;0;👩 Perempuan (Female);22;0;🇵🇹 Domestik;1;📍 Pindah;1;9500;100.6;5;13.928;7;14.342857142857142;1;⚠️ Ya - Kebutuhan Khusus;0;❌ Tanpa Beasiswa;1;✅ Bayar Tepat Waktu;0;✅ Non-Debtor;1;☀️ Daytime;15.38;26.08;58.54
Dropout;Dropout;62.65;1;0;👩 Perempuan (Female);20;0;🇵🇹 Domestik;0;🏠 Tidak Pindah;1;9773;121.4;4;13.0;5;13.8;0;✓ Tidak;0;❌ Tanpa Beasiswa;0;⚠️ Belum/Menunggak;0;✅ Non-Debtor;1;☀️ Daytime;62.65;27.18;10.17
Dropout;Dropout;97.61;1;0;👩 Perempuan (Female);29;0;🇵🇹 Domestik;0;🏠 Tidak Pindah;1;9991;109.7;0;0.0;0;0.0;0;✓ Tidak;0;❌ Tanpa Beasiswa;1;✅ Bayar Tepat Waktu;0;✅ Non-Debtor;0;🌙 Evening;97.61;2.37;0.02
Enrolled;Enrolled;56.28;1;0;👩 Perempuan (Female);24;0;🇵🇹 Domestik;0;🏠 Tidak Pindah;1;9991;134.1;2;11.5;3;14.333333333333334;0;✓ Tidak;0;❌ Tanpa Beasiswa;1;✅ Bayar Tepat Waktu;0;✅ Non-Debtor;0;🌙 Evening;31.67;56.28;12.05
Graduate;Graduate;74.02;1;0;👩 Perempuan (Female);18;0;🇵🇹 Domestik;1;📍 Pindah;1;9238;127.6;6;11.666666666666666;5;13.2;0;✓ Tidak;0;❌ Tanpa Beasiswa;1;✅ Bayar Tepat Waktu;0;✅ Non-Debtor;1;☀️ Daytime;7.73;18.25;74.02
Graduate;Graduate;86.41;1;0;👩 Perempuan (Female);22;0;🇵🇹 Domestik;1;📍 Pindah;1;9500;132.4;6;13.516666666666666;7;13.771428571428572;0;✓ Tidak;1;✅ Dengan Beasiswa;1;✅ Bayar Tepat Waktu;0;✅ Non-Debtor;1;☀️ Daytime;6.19;7.4;86.41
Graduate;Graduate;94.71;1;0;👩 Perempuan (Female);21;0;🇵🇹 Domestik;0;🏠 Tidak Pindah;1;8014;133.4;6;11.5;6;13.285714285714286;0;✓ Tidak;1;✅ Dengan Beasiswa;1;✅ Bayar Tepat Waktu;0;✅ Non-Debtor;0;🌙 Evening;0.98;4.31;94.71
Graduate;Graduate;92.43;1;0;👩 Perempuan (Female);19;0;🇵🇹 Domestik;0;🏠 Tidak Pindah;1;9238;126.1;5;12.333333333333334;6;12.833333333333334;0;✓ Tidak;1;✅ Dengan Beasiswa;1;✅ Bayar Tepat Waktu;0;✅ Non-Debtor;1;☀️ Daytime;2.02;5.55;92.43
Graduate;Graduate;94.0;1;0;👩 Perempuan (Female);24;0;🇵🇹 Domestik;0;🏠 Tidak Pindah;1;9254;113.5;6;13.666666666666666;6;14.166666666666666;0;✓ Tidak;1;✅ Dengan Beasiswa;1;✅ Bayar Tepat Waktu;0;✅ Non-Debtor;1;☀️ Daytime;1.26;4.74;94.0
Enrolled;Graduate;63.05;0;0;👩 Perempuan (Female);19;0;🇵🇹 Domestik;1;📍 Pindah;1;9500;121.3;6;11.833333333333334;6;11.833333333333334;0;✓ Tidak;1;✅ Dengan Beasiswa;1;✅ Bayar Tepat Waktu;0;✅ Non-Debtor;1;☀️ Daytime;11.73;25.23;63.05
Enrolled;Enrolled;55.7;1;0;👩 Perempuan (Female);20;0;🇵🇹 Domestik;1;📍 Pindah;1;9773;121.8;4;14.0;3;11.0;0;✓ Tidak;1;✅ Dengan Beasiswa;1;✅ Bayar Tepat Waktu;0;✅ Non-Debtor;1;☀️ Daytime;30.14;55.7;14.16
Graduate;Graduate;92.12;1;0;👩 Perempuan (Female);19;0;🇵🇹 Domestik;0;🏠 Tidak Pindah;1;9130;159.3;5;14.714285714285714;5;15.8;0;✓ Tidak;0;❌ Tanpa Beasiswa;1;✅ Bayar Tepat Waktu;0;✅ Non-Debtor;1;☀️ Daytime;0.99;6.88;92.12
Dropout;Graduate;60.95;0;0;👩 Perempuan (Female);27;0;🇵🇹 Domestik;0;🏠 Tidak Pindah;1;9991;120.0;5;10.6;5;11.0;0;✓ Tidak;0;❌ Tanpa Beasiswa;1;✅ Bayar Tepat Waktu;0;✅ Non-Debtor;0;🌙 Evening;7.91;31.13;60.95
Graduate;Graduate;91.35;1;0;👩 Perempuan (Female);18;0;🇵🇹 Domestik;1;📍 Pindah;1;9500;129.1;7;13.044444444444444;8;13.595;0;✓ Tidak;0;❌ Tanpa Beasiswa;1;✅ Bayar Tepat Waktu;0;✅ Non-Debtor;1;☀️ Daytime;1.5;7.14;91.35
Dropout;Dropout;94.45;1;0;👩 Perempuan (Female);39;0;🇵🇹 Domestik;0;🏠 Tidak Pindah;2;9254;130.0;0;0.0;0;0.0;0;✓ Tidak;0;❌ Tanpa Beasiswa;1;✅ Bayar Tepat Waktu;0;✅ Non-Debtor;1;☀️ Daytime;94.45;5.54;0.01
Dropout;Graduate;71.36;0;0;👩 Perempuan (Female);27;0;🇵🇹 Domestik;1;📍 Pindah;1;9130;155.3;5;13.0;10;12.9;0;✓ Tidak;0;❌ Tanpa Beasiswa;1;✅ Bayar Tepat Waktu;0;✅ Non-Debtor;1;☀️ Daytime;12.07;16.57;71.36
Graduate;Graduate;95.26;1;0;👩 Perempuan (Female);18;0;🇵🇹 Domestik;1;📍 Pindah;1;9500;139.8;8;14.935;8;14.935;0;✓ Tidak;0;❌ Tanpa Beasiswa;1;✅ Bayar Tepat Waktu;0;✅ Non-Debtor;1;☀️ Daytime;0.81;3.93;95.26
Enrolled;Graduate;51.77;0;0;👩 Perempuan (Female);18;0;🇵🇹 Domestik;1;📍 Pindah;1;171;115.2;0;0.0;0;0.0;0;✓ Tidak;0;❌ Tanpa Beasiswa;1;✅ Bayar Tepat Waktu;0;✅ Non-Debtor;1;☀️ Daytime;31.4;16.83;51.77
Graduate;Graduate;68.43;1;0;👩 Perempuan (Female);18;0;🇵🇹 Domestik;0;🏠 Tidak Pindah;1;9500;114.9;6;13.133333333333333;7;12.221428571428572;0;✓ Tidak;0;❌ Tanpa Beasiswa;1;✅ Bayar Tepat Waktu;0;✅ Non-Debtor;1;☀️ Daytime;7.81;23.76;68.43
Graduate;Graduate;92.69;1;0;👩 Perempuan (Female);21;0;🇵🇹 Domestik;0;🏠 Tidak Pindah;1;9238;131.9;6;12.0;6;12.0;0;✓ Tidak;1;✅ Dengan Beasiswa;1;✅ Bayar Tepat Waktu;0;✅ Non-Debtor;1;☀️ Daytime;2.16;5.15;92.69
Enrolled;Graduate;60.26;0;1;👨 Laki-laki (Male);19;0;🇵🇹 Domestik;1;📍 Pindah;1;171;126.0;0;0.0;0;0.0;0;✓ Tidak;1;✅ Dengan Beasiswa;1;✅ Bayar Tepat Waktu;0;✅ Non-Debtor;1;☀️ Daytime;23.8;15.94;60.26
Enrolled;Dropout;69.45;0;1;👨 Laki-laki (Male);19;0;🇵🇹 Domestik;1;📍 Pindah;1;9070;130.2;5;11.4;1;10.0;0;✓ Tidak;0;❌ Tanpa Beasiswa;1;✅ Bayar Tepat Waktu;0;✅ Non-Debtor;1;☀️ Daytime;69.45;28.62;1.93
Enrolled;Dropout;91.93;0;1;👨 Laki-laki (Male);24;0;🇵🇹 Domestik;0;🏠 Tidak Pindah;1;9070;120.9;0;0.0;0;0.0;0;✓ Tidak;0;❌ Tanpa Beasiswa;1;✅ Bayar Tepat Waktu;0;✅ Non-Debtor;1;☀️ Daytime;91.93;8.06;0.01
Dropout;Dropout;50.62;1;1;👨 Laki-laki (Male);29;0;🇵🇹 Domestik;1;📍 Pindah;4;9500;126.0;5;11.9;5;11.0;0;✓ Tidak;0;❌ Tanpa Beasiswa;1;✅ Bayar Tepat Waktu;0;✅ Non-Debtor;1;☀️ Daytime;50.62;39.95;9.43
Graduate;Graduate;61.11;1;1;👨 Laki-laki (Male);19;0;🇵🇹 Domestik;1;📍 Pindah;1;171;128.2;0;0.0;0;0.0;0;✓ Tidak;1;✅ Dengan Beasiswa;1;✅ Bayar Tepat Waktu;0;✅ Non-Debtor;1;☀️ Daytime;26.51;12.38;61.11
Graduate;Graduate;87.89;1;1;👨 Laki-laki (Male);23;0;🇵🇹 Domestik;1;📍 Pindah;1;9003;130.0;6;12.571428571428571;6;12.428571428571429;0;✓ Tidak;0;❌ Tanpa Beasiswa;1;✅ Bayar Tepat Waktu;0;✅ Non-Debtor;1;☀️ Daytime;2.23;9.88;87.89
Dropout;Graduate;39.47;0;1;👨 Laki-laki (Male);19;0;🇵🇹 Domestik;0;🏠 Tidak Pindah;1;9147;120.1;5;11.2;4;10.75;0;✓ Tidak;0;❌ Tanpa Beasiswa;1;✅ Bayar Tepat Waktu;1;⚠️ Debtor;1;☀️ Daytime;22.23;38.3;39.47
Enrolled;Graduate;59.41;0;1;👨 Laki-laki (Male);26;0;🇵🇹 Domestik;0;🏠 Tidak Pindah;1;9254;100.0;6;12.0;5;10.8;0;✓ Tidak;0;❌ Tanpa Beasiswa;1;✅ Bayar Tepat Waktu;0;✅ Non-Debtor;1;☀️ Daytime;16.23;24.36;59.41
Enrolled;Dropout;85.65;0;1;👨 Laki-laki (Male);18;0;🇵🇹 Domestik;0;🏠 Tidak Pindah;1;9147;134.0;0;0.0;0;0.0;0;✓ Tidak;0;❌ Tanpa Beasiswa;1;✅ Bayar Tepat Waktu;0;✅ Non-Debtor;1;☀️ Daytime;85.65;14.3;0.05
Graduate;Graduate;91.04;1;1;👨 Laki-laki (Male);24;0;🇵🇹 Domestik;0;🏠 Tidak Pindah;1;9500;130.8;7;11.975;8;13.75;0;✓ Tidak;0;❌ Tanpa Beasiswa;1;✅ Bayar Tepat Waktu;0;✅ Non-Debtor;1;☀️ Daytime;2.3;6.65;91.04
Dropout;Dropout;46.24;1;1;👨 Laki-laki (Male);19;0;🇵🇹 Domestik;1;📍 Pindah;1;171;135.8;0;0.0;0;0.0;0;✓ Tidak;0;❌ Tanpa Beasiswa;1;✅ Bayar Tepat Waktu;0;✅ Non-Debtor;1;☀️ Daytime;46.24;15.95;37.81
Dropout;Dropout;73.26;1;1;👨 Laki-laki (Male);18;0;🇵🇹 Domestik;1;📍 Pindah;1;9254;111.7;3;11.666666666666666;1;12.0;0;✓ Tidak;0;❌ Tanpa Beasiswa;1;✅ Bayar Tepat Waktu;0;✅ Non-Debtor;1;☀️ Daytime;73.26;26.3;0.45
Graduate;Dropout;40.19;0;1;👨 Laki-laki (Male);18;0;🇵🇹 Domestik;1;📍 Pindah;1;9773;132.9;6;12.333333333333334;3;12.333333333333334;0;✓ Tidak;0;❌ Tanpa Beasiswa;1;✅ Bayar Tepat Waktu;0;✅ Non-Debtor;1;☀️ Daytime;40.19;37.81;22.0
Dropout;Dropout;50.24;1;1;👨 Laki-laki (Male);18;0;🇵🇹 Domestik;1;📍 Pindah;1;9147;115.5;3;10.333333333333334;3;10.857142857142858;0;✓ Tidak;0;❌ Tanpa Beasiswa;1;✅ Bayar Tepat Waktu;1;⚠️ Debtor;1;☀️ Daytime;50.24;45.86;3.9
Dropout;Dropout;67.77;1;1;👨 Laki-laki (Male);21;0;🇵🇹 Domestik;1;📍 Pindah;1;9254;106.0;4;10.5;1;11.0;0;✓ Tidak;1;✅ Dengan Beasiswa;1;✅ Bayar Tepat Waktu;0;✅ Non-Debtor;1;☀️ Daytime;67.77;30.22;2.02
Graduate;Graduate;83.52;1;1;👨 Laki-laki (Male);19;0;🇵🇹 Domestik;1;📍 Pindah;1;9773;120.3;6;13.666666666666666;6;13.333333333333334;0;✓ Tidak;1;✅ Dengan Beasiswa;1;✅ Bayar Tepat Waktu;1;⚠️ Debtor;1;☀️ Daytime;4.97;11.51;83.52
Graduate;Graduate;96.35;1;1;👨 Laki-laki (Male);22;0;🇵🇹 Domestik;0;🏠 Tidak Pindah;1;9500;130.8;7;14.842857142857142;8;15.055555555555555;0;✓ Tidak;1;✅ Dengan Beasiswa;1;✅ Bayar Tepat Waktu;0;✅ Non-Debtor;1;☀️ Daytime;1.2;2.45;96.35
Graduate;Graduate;83.88;1;1;👨 Laki-laki (Male);33;0;🇵🇹 Domestik;0;🏠 Tidak Pindah;2;8014;117.0;6;12.0;6;11.666666666666666;0;✓ Tidak;0;❌ Tanpa Beasiswa;1;✅ Bayar Tepat Waktu;0;✅ Non-Debtor;0;🌙 Evening;5.33;10.8;83.88
Dropout;Graduate;50.77;0;1;👨 Laki-laki (Male);20;0;🇵🇹 Domestik;1;📍 Pindah;1;9853;110.2;5;12.2;5;12.2;0;✓ Tidak;0;❌ Tanpa Beasiswa;1;✅ Bayar Tepat Waktu;0;✅ Non-Debtor;1;☀️ Daytime;25.76;23.47;50.77
Dropout;Dropout;96.64;1;1;👨 Laki-laki (Male);35;0;🇵🇹 Domestik;1;📍 Pindah;1;9991;155.7;0;0.0;0;0.0;0;✓ Tidak;0;❌ Tanpa Beasiswa;1;✅ Bayar Tepat Waktu;0;✅ Non-Debtor;0;🌙 Evening;96.64;3.32;0.04
